link_text,href,link_type,section_title
(empty),#beautiful-soup-documentation,internal_anchor,Unknown
Beautiful Soup,http://www.crummy.com/software/BeautifulSoup/,documentation_link,Unknown
Beautiful Soup 3,http://www.crummy.com/software/BeautifulSoup/bs3/documentation.html,documentation_link,Unknown
Porting code to BS4,#porting-code-to-bs4,internal_anchor,Unknown
这篇文档当然还有中文版.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.zh/,documentation_link,Unknown
外部リンク,http://kondou.com/BS4/,external_link,Unknown
이 문서는 한국어 번역도 가능합니다.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ko/,documentation_link,Unknown
Este documento também está disponível em Português do Brasil.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ptbr,documentation_link,Unknown
Este documento también está disponible en una traducción al español.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.es/,documentation_link,Unknown
Эта документация доступна на русском языке.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ru/,documentation_link,Unknown
(empty),#getting-help,internal_anchor,Unknown
send mail to the discussion group,https://groups.google.com/forum/?fromgroups#!forum/beautifulsoup,documentation_link,Unknown
what the diagnose() function says,#diagnose,internal_anchor,Unknown
(empty),#api-documentation,internal_anchor,Unknown
traditional API documentation,api/modules.html,documentation_link,Unknown
(empty),#quick-start,internal_anchor,Unknown
(empty),#installing-beautiful-soup,internal_anchor,Unknown
Beautiful Soup 3,http://www.crummy.com/software/BeautifulSoup/bs3/documentation.html,documentation_link,Unknown
download the Beautiful Soup 4 source tarball,http://www.crummy.com/software/BeautifulSoup/download/4.x/,documentation_link,Unknown
(empty),#installing-a-parser,internal_anchor,Unknown
lxml parser,http://lxml.de/,external_link,Unknown
html5lib parser,http://code.google.com/p/html5lib/,external_link,Unknown
Differences between parsers,#differences-between-parsers,internal_anchor,Unknown
(empty),#making-the-soup,internal_anchor,Unknown
Parsing XML,#id15,internal_anchor,Unknown
(empty),#kinds-of-objects,internal_anchor,Unknown
Tag,#Tag,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
Comment,#Comment,internal_anchor,Unknown
(empty),#Tag,internal_anchor,Unknown
Tag,#Tag,internal_anchor,Unknown
Navigating the tree,#navigating-the-tree,internal_anchor,Unknown
Searching the tree,#searching-the-tree,internal_anchor,Unknown
(empty),#Tag.name,internal_anchor,Unknown
(empty),#Tag.attrs,internal_anchor,Unknown
(empty),#multi-valued-attributes,internal_anchor,Unknown
(empty),#NavigableString,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
Navigating the tree,#navigating-the-tree,internal_anchor,Unknown
Searching the tree,#searching-the-tree,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
replace_with(),#replace-with,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
Navigating the tree,#navigating-the-tree,internal_anchor,Unknown
Searching the tree,#searching-the-tree,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
Tag,#Tag,internal_anchor,Unknown
Navigating the tree,#navigating-the-tree,internal_anchor,Unknown
Searching the tree,#searching-the-tree,internal_anchor,Unknown
Modifying the tree,#modifying-the-tree,internal_anchor,Unknown
Tag,#Tag,internal_anchor,Unknown
Tag,#Tag,internal_anchor,Unknown
(empty),#special-strings,internal_anchor,Unknown
Tag,#Tag,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
Comment,#Comment,internal_anchor,Unknown
(empty),#Comment,internal_anchor,Unknown
Comment,#Comment,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
Comment,#Comment,internal_anchor,Unknown
(empty),#for-html-documents,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
(empty),#Stylesheet,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
(empty),#Script,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
(empty),#Template,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
(empty),#for-xml-documents,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
Comment,#Comment,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
(empty),#Declaration,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
declaration,https://www.w3.org/TR/REC-xml/#sec-prolog-dtd,external_link,Unknown
(empty),#Doctype,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
document type declaration,https://www.w3.org/TR/REC-xml/#dt-doctype,external_link,Unknown
(empty),#CData,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
CData section,https://www.w3.org/TR/REC-xml/#sec-cdata-sect,external_link,Unknown
(empty),#ProcessingInstruction,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
XML processing instruction,https://www.w3.org/TR/REC-xml/#sec-pi,external_link,Unknown
(empty),#navigating-the-tree,internal_anchor,Unknown
(empty),#going-down,internal_anchor,Unknown
(empty),#navigating-using-tag-names,internal_anchor,Unknown
Searching the tree,#searching-the-tree,internal_anchor,Unknown
(empty),#contents-and-children,internal_anchor,Unknown
Modifying the tree,#modifying-the-tree,internal_anchor,Unknown
(empty),#descendants,internal_anchor,Unknown
(empty),#string,internal_anchor,Unknown
NavigableString,#NavigableString,internal_anchor,Unknown
(empty),#strings-and-stripped-strings,internal_anchor,Unknown
(empty),#going-up,internal_anchor,Unknown
(empty),#parent,internal_anchor,Unknown
(empty),#parents,internal_anchor,Unknown
(empty),#self-and-parents,internal_anchor,Unknown
(empty),#going-sideways,internal_anchor,Unknown
(empty),#next-sibling-and-previous-sibling,internal_anchor,Unknown
