example_id,section_title,code_text,line_count,contains_find_all,contains_find,contains_select,contains_get_text,contains_requests
1,Quick Start ,"html_doc
=
""""""<html><head><title>The Dormouse's story</title></head>
<body>
<p class=""title""><b>The Dormouse's story</b></p>
<p class=""story"">Once upon a time there were three little sisters; and their names were
<a href=""http://example.com/elsie"" class=""sister"" id=""link1"">Elsie</a>,
<a href=""http://example.com/lacie"" class=""sister"" id=""link2"">Lacie</a> and
<a href=""http://example.com/tillie"" class=""sister"" id=""link3"">Tillie</a>;
and they lived at the bottom of a well.</p>
<p class=""story"">...</p>
""""""",12,False,False,False,False,False
2,Quick Start ,BeautifulSoup,1,False,False,False,False,False
3,Quick Start ,"from
bs4
import
BeautifulSoup
soup
=
BeautifulSoup
(
html_doc
,
'html.parser'
)
print
(
soup
.
prettify
())
# <html>
#  <head>
#   <title>
#    The Dormouse's story
#   </title>
#  </head>
#  <body>
#   <p class=""title"">
#    <b>
#     The Dormouse's story
#    </b>
#   </p>
#   <p class=""story"">
#    Once upon a time there were three little sisters; and their names were
#    <a class=""sister"" href=""http://example.com/elsie"" id=""link1"">
#     Elsie
#    </a>
#    ,
#    <a class=""sister"" href=""http://example.com/lacie"" id=""link2"">
#     Lacie
#    </a>
#    and
#    <a class=""sister"" href=""http://example.com/tillie"" id=""link3"">
#     Tillie
#    </a>
#    ; and they lived at the bottom of a well.
#   </p>
#   <p class=""story"">
#    ...
#   </p>
#  </body>
# </html>",50,False,False,False,False,False
4,Quick Start ,"soup
.
title
# <title>The Dormouse's story</title>
soup
.
title
.
name
# u'title'
soup
.
title
.
string
# u'The Dormouse's story'
soup
.
title
.
parent
.
name
# u'head'
soup
.
p
# <p class=""title""><b>The Dormouse's story</b></p>
soup
.
p
[
'class'
]
# u'title'
soup
.
a
# <a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>
soup
.
find_all
(
'a'
)
# [<a class=""sister"" href=""http://example.com/elsie"" id=""link1"">Elsie</a>,
#  <a class=""sister"" href=""http://example.com/lacie"" id=""link2"">Lacie</a>,
#  <a class=""sister"" href=""http://example.com/tillie"" id=""link3"">Tillie</a>]
soup
.
find
(
id
=
""link3""
)
# <a class=""sister"" href=""http://example.com/tillie"" id=""link3"">Tillie</a>",57,True,False,False,False,False
5,Quick Start ,"for
link
in
soup
.
find_all
(
'a'
):
print
(
link
.
get
(
'href'
))
# http://example.com/elsie
# http://example.com/lacie
# http://example.com/tillie",20,True,False,False,False,False
6,Quick Start ,"print
(
soup
.
get_text
())
# The Dormouse's story
#
# The Dormouse's story
#
# Once upon a time there were three little sisters; and their names were
# Elsie,
# Lacie and
# Tillie;
# and they lived at the bottom of a well.
#
# ...",17,False,False,False,True,False
7,Installing Beautiful Soup ,easy_install,1,False,False,False,False,False
8,Installing Beautiful Soup ,pip,1,False,False,False,False,False
9,Installing Beautiful Soup ,beautifulsoup4,1,False,False,False,False,False
10,Installing Beautiful Soup ,pip,1,False,False,False,False,False
11,Installing Beautiful Soup ,easy_install,1,False,False,False,False,False
12,Installing Beautiful Soup ,pip3,1,False,False,False,False,False
13,Installing Beautiful Soup ,easy_install3,1,False,False,False,False,False
14,Installing Beautiful Soup ,BeautifulSoup,1,False,False,False,False,False
15,Installing Beautiful Soup ,beautifulsoup4,1,False,False,False,False,False
16,Installing Beautiful Soup ,easy_install,1,False,False,False,False,False
17,Installing Beautiful Soup ,pip,1,False,False,False,False,False
18,Installing Beautiful Soup ,setup.py,1,False,False,False,False,False
19,Installing Beautiful Soup ,bs4,1,False,False,False,False,False
20,Installing Beautiful Soup ,"BeautifulSoup(markup,
""html.parser"")",2,False,False,False,False,False
21,Installing Beautiful Soup ,"BeautifulSoup(markup,
""lxml"")",2,False,False,False,False,False
22,Installing Beautiful Soup ,"BeautifulSoup(markup,
""lxml-xml"")",2,False,False,False,False,False
23,Installing Beautiful Soup ,"BeautifulSoup(markup,
""xml"")",2,False,False,False,False,False
24,Installing Beautiful Soup ,"BeautifulSoup(markup,
""html5lib"")",2,False,False,False,False,False
25,Installing a parser ,"BeautifulSoup(markup,
""html.parser"")",2,False,False,False,False,False
26,Installing a parser ,"BeautifulSoup(markup,
""lxml"")",2,False,False,False,False,False
27,Installing a parser ,"BeautifulSoup(markup,
""lxml-xml"")",2,False,False,False,False,False
28,Installing a parser ,"BeautifulSoup(markup,
""xml"")",2,False,False,False,False,False
29,Installing a parser ,"BeautifulSoup(markup,
""html5lib"")",2,False,False,False,False,False
30,Making the soup ,BeautifulSoup,1,False,False,False,False,False
31,Making the soup ,"from
bs4
import
BeautifulSoup
with
open
(
""index.html""
)
as
fp
:
soup
=
BeautifulSoup
(
fp
,
'html.parser'
)
soup
=
BeautifulSoup
(
""<html>a web page</html>""
,
'html.parser'
)",28,False,False,False,False,False
32,Making the soup ,"print
(
BeautifulSoup
(
""<html><head></head><body>Sacr&eacute; bleu!</body></html>""
,
""html.parser""
))
# <html><head></head><body>Sacré bleu!</body></html>",9,False,False,False,False,False
33,Kinds of objects ,Tag,1,False,False,False,False,False
34,Kinds of objects ,NavigableString,1,False,False,False,False,False
35,Kinds of objects ,BeautifulSoup,1,False,False,False,False,False
36,Kinds of objects ,Comment,1,False,False,False,False,False
37,Kinds of objects ,Tag,1,False,False,False,False,False
38,Kinds of objects ,"soup
=
BeautifulSoup
(
'<b class=""boldest"">Extremely bold</b>'
,
'html.parser'
)
tag
=
soup
.
b
type
(
tag
)
# <class 'bs4.element.Tag'>",18,False,False,False,False,False
39,Kinds of objects ,"tag
.
name
# 'b'",4,False,False,False,False,False
40,Kinds of objects ,"tag
.
name
=
""blockquote""
tag
# <blockquote class=""boldest"">Extremely bold</blockquote>",7,False,False,False,False,False
41,Kinds of objects ,"<b
id=""boldest"">",2,False,False,False,False,False
42,Kinds of objects ,"tag
=
BeautifulSoup
(
'<b id=""boldest"">bold</b>'
,
'html.parser'
)
.
b
tag
[
'id'
]
# 'boldest'",15,False,False,False,False,False
43,Kinds of objects ,.attrs,1,False,False,False,False,False
44,Kinds of objects ,"tag
.
attrs
# {'id': 'boldest'}
tag
.
attrs
.
keys
()
# dict_keys(['id'])",11,False,False,False,False,False
45,Kinds of objects ,"tag
[
'id'
]
=
'verybold'
tag
[
'another-attribute'
]
=
1
tag
# <b another-attribute=""1"" id=""verybold""></b>
del
tag
[
'id'
]
del
tag
[
'another-attribute'
]
tag
# <b>bold</b>
tag
[
'id'
]
# KeyError: 'id'
tag
.
get
(
'id'
)
# None",38,False,False,False,False,False
46,Kinds of objects ,class,1,False,False,False,False,False
47,Kinds of objects ,rel,1,False,False,False,False,False
48,Kinds of objects ,rev,1,False,False,False,False,False
49,Kinds of objects ,accept-charset,1,False,False,False,False,False
50,Kinds of objects ,headers,1,False,False,False,False,False
51,Kinds of objects ,accesskey,1,False,False,False,False,False
52,Kinds of objects ,"css_soup
=
BeautifulSoup
(
'<p class=""body""></p>'
,
'html.parser'
)
css_soup
.
p
[
'class'
]
# ['body']
css_soup
=
BeautifulSoup
(
'<p class=""body strikeout""></p>'
,
'html.parser'
)
css_soup
.
p
[
'class'
]
# ['body', 'strikeout']",30,False,False,False,False,False
53,Kinds of objects ,"rel_soup
=
BeautifulSoup
(
'<p>Back to the <a rel=""index first"">homepage</a></p>'
,
'html.parser'
)
rel_soup
.
a
[
'rel'
]
# ['index', 'first']
rel_soup
.
a
[
'rel'
]
=
[
'index'
,
'contents'
]
print
(
rel_soup
.
p
)
# <p>Back to the <a rel=""index contents"">homepage</a></p>",34,False,False,False,False,False
