link_text,href,link_type,section_title,absolute_href
Beautiful Soup,http://www.crummy.com/software/BeautifulSoup/,documentation_link,Beautiful Soup Documentation ¶,http://www.crummy.com/software/BeautifulSoup/
Beautiful Soup 3,http://www.crummy.com/software/BeautifulSoup/bs3/documentation.html,documentation_link,Beautiful Soup Documentation ¶,http://www.crummy.com/software/BeautifulSoup/bs3/documentation.html
Porting code to BS4,#porting-code-to-bs4,internal_anchor,Beautiful Soup Documentation ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#porting-code-to-bs4
这篇文档当然还有中文版.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.zh/,documentation_link,Beautiful Soup Documentation ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc.zh/
外部リンク,http://kondou.com/BS4/,external_link,Beautiful Soup Documentation ¶,http://kondou.com/BS4/
이 문서는 한국어 번역도 가능합니다.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ko/,documentation_link,Beautiful Soup Documentation ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ko/
Este documento também está disponível em Português do Brasil.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ptbr,documentation_link,Beautiful Soup Documentation ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ptbr
Este documento también está disponible en una traducción al español.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.es/,documentation_link,Beautiful Soup Documentation ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc.es/
Эта документация доступна на русском языке.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ru/,documentation_link,Beautiful Soup Documentation ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ru/
¶,#getting-help,internal_anchor,Beautiful Soup Documentation ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#getting-help
send mail to the discussion group,https://groups.google.com/forum/?fromgroups#!forum/beautifulsoup,documentation_link,Beautiful Soup Documentation ¶,https://groups.google.com/forum/?fromgroups#!forum/beautifulsoup
what the diagnose() function says,#diagnose,internal_anchor,Beautiful Soup Documentation ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#diagnose
¶,#api-documentation,internal_anchor,Beautiful Soup Documentation ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#api-documentation
traditional API documentation,api/modules.html,empty_or_invalid,Beautiful Soup Documentation ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/api/modules.html
send mail to the discussion group,https://groups.google.com/forum/?fromgroups#!forum/beautifulsoup,documentation_link,Getting help ¶,https://groups.google.com/forum/?fromgroups#!forum/beautifulsoup
what the diagnose() function says,#diagnose,internal_anchor,Getting help ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#diagnose
¶,#api-documentation,internal_anchor,Getting help ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#api-documentation
traditional API documentation,api/modules.html,empty_or_invalid,Getting help ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/api/modules.html
traditional API documentation,api/modules.html,empty_or_invalid,API documentation ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/api/modules.html
Beautiful Soup 3,http://www.crummy.com/software/BeautifulSoup/bs3/documentation.html,documentation_link,Installing Beautiful Soup ¶,http://www.crummy.com/software/BeautifulSoup/bs3/documentation.html
download the Beautiful Soup 4 source tarball,http://www.crummy.com/software/BeautifulSoup/download/4.x/,documentation_link,Installing Beautiful Soup ¶,http://www.crummy.com/software/BeautifulSoup/download/4.x/
¶,#installing-a-parser,internal_anchor,Installing Beautiful Soup ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#installing-a-parser
lxml parser,http://lxml.de/,external_link,Installing Beautiful Soup ¶,http://lxml.de/
html5lib parser,http://code.google.com/p/html5lib/,external_link,Installing Beautiful Soup ¶,http://code.google.com/p/html5lib/
Differences between parsers,#differences-between-parsers,internal_anchor,Installing Beautiful Soup ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#differences-between-parsers
lxml parser,http://lxml.de/,external_link,Installing a parser ¶,http://lxml.de/
html5lib parser,http://code.google.com/p/html5lib/,external_link,Installing a parser ¶,http://code.google.com/p/html5lib/
Differences between parsers,#differences-between-parsers,internal_anchor,Installing a parser ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#differences-between-parsers
Parsing XML,#id15,internal_anchor,Making the soup ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#id15
Tag,#Tag,internal_anchor,Kinds of objects ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#Tag
NavigableString,#NavigableString,internal_anchor,Kinds of objects ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
Comment,#Comment,internal_anchor,Kinds of objects ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#Comment
¶,#Tag,internal_anchor,Kinds of objects ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#Tag
Tag,#Tag,internal_anchor,Kinds of objects ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#Tag
Navigating the tree,#navigating-the-tree,internal_anchor,Kinds of objects ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#navigating-the-tree
Searching the tree,#searching-the-tree,internal_anchor,Kinds of objects ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#searching-the-tree
¶,#Tag.name,internal_anchor,Kinds of objects ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#Tag.name
¶,#Tag.attrs,internal_anchor,Kinds of objects ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#Tag.attrs
¶,#multi-valued-attributes,internal_anchor,Kinds of objects ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#multi-valued-attributes
¶,#NavigableString,internal_anchor,Kinds of objects ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
NavigableString,#NavigableString,internal_anchor,Kinds of objects ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
NavigableString,#NavigableString,internal_anchor,Kinds of objects ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#NavigableString
Navigating the tree,#navigating-the-tree,internal_anchor,Kinds of objects ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#navigating-the-tree
Searching the tree,#searching-the-tree,internal_anchor,Kinds of objects ¶,https://www.crummy.com/software/BeautifulSoup/bs4/doc/#searching-the-tree
